instance_name,variant,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,feasible,cpu_time
RDL-n25-03,No-DelayAware,8,10000,0.1,0.4,0.997,100,577.146322,473.48941,18.97687,83.45432,1.225722,2,0.08,0.92,0.333817,True,20.185073
RDL-n25-03,No-DelayAware,9,10000,0.1,0.4,0.997,100,806.931818,439.283709,18.97687,347.445517,1.225722,2,0.08,0.84,1.389782,True,17.734921
RDL-n25-03,No-DelayAware,10,10000,0.1,0.4,0.997,100,576.617844,446.252089,0.0,130.365755,0.0,0,0.0,0.88,0.521463,True,22.134832
RDL-n25-03,No-ModeSwitch,1,10000,0.1,0.4,0.997,100,453.911215,449.37732,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,22.672687
RDL-n25-03,No-ModeSwitch,2,10000,0.1,0.4,0.997,100,440.524998,440.524998,0.0,0.0,0.0,0,0.0,1.0,0.0,True,22.850205
RDL-n25-03,No-ModeSwitch,3,10000,0.1,0.4,0.997,100,435.566096,415.363504,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,22.997577
RDL-n25-03,No-ModeSwitch,4,10000,0.1,0.4,0.997,100,445.039398,407.379188,35.837831,0.0,1.822379,3,0.12,1.0,0.0,True,22.962815
RDL-n25-03,No-ModeSwitch,5,10000,0.1,0.4,0.997,100,457.855102,433.118615,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,23.040687
RDL-n25-03,No-ModeSwitch,6,10000,0.1,0.4,0.997,100,442.009986,442.009986,0.0,0.0,0.0,0,0.0,1.0,0.0,True,22.987021
RDL-n25-03,No-ModeSwitch,7,10000,0.1,0.4,0.997,100,446.554684,442.020789,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,23.483876
RDL-n25-03,No-ModeSwitch,8,10000,0.1,0.4,0.997,100,441.119039,441.119039,0.0,0.0,0.0,0,0.0,1.0,0.0,True,22.903801
RDL-n25-03,No-ModeSwitch,9,10000,0.1,0.4,0.997,100,436.292134,431.758239,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,22.715137
RDL-n25-03,No-ModeSwitch,10,10000,0.1,0.4,0.997,100,440.921753,440.921753,0.0,0.0,0.0,0,0.0,1.0,0.0,True,23.226406
RDL-n25-03,No-TWRemoval,1,10000,0.1,0.4,0.997,100,454.488711,449.954815,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,21.546016
RDL-n25-03,No-TWRemoval,2,10000,0.1,0.4,0.997,100,436.531033,416.328441,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,21.331808
RDL-n25-03,No-TWRemoval,3,10000,0.1,0.4,0.997,100,455.899695,451.3658,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,21.086262
RDL-n25-03,No-TWRemoval,4,10000,0.1,0.4,0.997,100,454.722127,450.188231,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,21.746478
RDL-n25-03,No-TWRemoval,5,10000,0.1,0.4,0.997,100,441.966184,441.966184,0.0,0.0,0.0,0,0.0,1.0,0.0,True,19.783635
RDL-n25-03,No-TWRemoval,6,10000,0.1,0.4,0.997,100,435.566096,415.363504,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,19.073308
RDL-n25-03,No-TWRemoval,7,10000,0.1,0.4,0.997,100,457.899047,433.16256,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,19.881953
RDL-n25-03,No-TWRemoval,8,10000,0.1,0.4,0.997,100,458.150754,458.150754,0.0,0.0,0.0,0,0.0,1.0,0.0,True,20.364178
RDL-n25-03,No-TWRemoval,9,10000,0.1,0.4,0.997,100,441.89991,441.89991,0.0,0.0,0.0,0,0.0,1.0,0.0,True,20.440108
RDL-n25-03,No-TWRemoval,10,10000,0.1,0.4,0.997,100,453.709588,424.558527,27.485386,0.0,1.665676,2,0.08,0.96,0.001384,True,18.895337
RDL-n25-03,Basic-LNS,1,10000,0.1,0.4,0.997,100,460.449005,442.991386,16.860961,0.0,0.596657,1,0.04,1.0,0.0,True,10.463543
RDL-n25-03,Basic-LNS,2,10000,0.1,0.4,0.997,100,462.305429,442.102837,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,10.491445
RDL-n25-03,Basic-LNS,3,10000,0.1,0.4,0.997,100,457.855102,433.118615,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,10.541863
RDL-n25-03,Basic-LNS,4,10000,0.1,0.4,0.997,100,466.763838,466.763838,0.0,0.0,0.0,0,0.0,1.0,0.0,True,10.479484
RDL-n25-03,Basic-LNS,5,10000,0.1,0.4,0.997,100,452.234797,450.196437,0.0,2.03836,0.0,0,0.0,0.96,0.008153,True,10.872023
RDL-n25-03,Basic-LNS,6,10000,0.1,0.4,0.997,100,466.031769,444.018464,18.97687,1.810714,1.225722,2,0.08,0.96,0.007243,True,10.238607
RDL-n25-03,Basic-LNS,7,10000,0.1,0.4,0.997,100,464.862908,460.329013,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,11.427719
RDL-n25-03,Basic-LNS,8,10000,0.1,0.4,0.997,100,456.802577,456.802577,0.0,0.0,0.0,0,0.0,1.0,0.0,True,10.677982
RDL-n25-03,Basic-LNS,9,10000,0.1,0.4,0.997,100,463.295378,463.295378,0.0,0.0,0.0,0,0.0,1.0,0.0,True,10.283682
RDL-n25-03,Basic-LNS,10,10000,0.1,0.4,0.997,100,458.285619,458.285619,0.0,0.0,0.0,0,0.0,1.0,0.0,True,10.462577
RDL-n25-04,Full-ALNS,1,10000,0.1,0.4,0.997,100,531.57073,531.57073,0.0,0.0,0.0,0,0.0,1.0,0.0,True,20.157812
RDL-n25-04,Full-ALNS,2,10000,0.1,0.4,0.997,100,530.597242,472.494602,55.56013,0.0,2.54251,3,0.12,1.0,0.0,True,21.096382
