instance_name,parameter_name,parameter_value,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,max_delay,average_walking_distance,drone_utilization,feasible,cpu_time,incumbent_inherited,initial_incumbent_cost
RDL-n25-02,drone_range,30,3,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.482018,False,
RDL-n25-02,drone_range,8,4,10000,0.1,0.4,0.997,100,502.892748,469.329152,28.44295,2.633193,2.487453,4,0.16,0.92,0.010533,0.23166,0.310932,0.5,True,20.711742,False,
RDL-n25-02,drone_range,12,4,10000,0.1,0.4,0.997,100,502.892748,469.329152,28.44295,2.633193,2.487453,4,0.16,0.92,0.010533,0.23166,0.310932,0.5,True,20.670437,False,
RDL-n25-02,drone_range,16,4,10000,0.1,0.4,0.997,100,478.307189,428.272982,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.493741,False,
RDL-n25-02,drone_range,20,4,10000,0.1,0.4,0.997,100,478.307189,428.272982,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.553269,False,
RDL-n25-02,drone_range,24,4,10000,0.1,0.4,0.997,100,478.307189,428.272982,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.555086,False,
RDL-n25-02,drone_range,30,4,10000,0.1,0.4,0.997,100,478.307189,428.272982,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.525297,False,
RDL-n25-02,drone_range,8,5,10000,0.1,0.4,0.997,100,492.348124,482.950832,6.891618,0.0,2.505674,1,0.04,1.0,0.0,0.0,1.252837,0.125,True,19.629115,False,
RDL-n25-02,drone_range,12,5,10000,0.1,0.4,0.997,100,492.348124,482.950832,6.891618,0.0,2.505674,1,0.04,1.0,0.0,0.0,1.252837,0.125,True,19.654385,False,
RDL-n25-02,drone_range,16,5,10000,0.1,0.4,0.997,100,475.963613,424.595307,43.783207,0.0,7.585098,4,0.16,1.0,0.0,0.0,0.948137,0.5,True,21.6093,False,
RDL-n25-02,drone_range,20,5,10000,0.1,0.4,0.997,100,475.963613,424.595307,43.783207,0.0,7.585098,4,0.16,1.0,0.0,0.0,0.948137,0.5,True,21.634361,False,
RDL-n25-02,drone_range,24,5,10000,0.1,0.4,0.997,100,475.963613,424.595307,43.783207,0.0,7.585098,4,0.16,1.0,0.0,0.0,0.948137,0.5,True,21.606391,False,
RDL-n25-02,drone_range,30,5,10000,0.1,0.4,0.997,100,475.963613,424.595307,43.783207,0.0,7.585098,4,0.16,1.0,0.0,0.0,0.948137,0.5,True,21.535283,False,
RDL-n25-02,drone_range,8,6,10000,0.1,0.4,0.997,100,497.450894,460.650139,27.566472,4.53118,4.703103,4,0.16,0.92,0.018125,0.320578,0.587888,0.5,True,20.398605,False,
RDL-n25-02,drone_range,12,6,10000,0.1,0.4,0.997,100,497.450894,460.650139,27.566472,4.53118,4.703103,4,0.16,0.92,0.018125,0.320578,0.587888,0.5,True,20.473464,False,
RDL-n25-02,drone_range,16,6,10000,0.1,0.4,0.997,100,477.81652,410.770466,58.44292,0.0,8.603133,6,0.24,1.0,0.0,0.0,0.716928,0.75,True,21.640859,False,
RDL-n25-02,drone_range,20,6,10000,0.1,0.4,0.997,100,477.81652,410.770466,58.44292,0.0,8.603133,6,0.24,1.0,0.0,0.0,0.716928,0.75,True,21.703828,False,
RDL-n25-02,drone_range,24,6,10000,0.1,0.4,0.997,100,477.81652,410.770466,58.44292,0.0,8.603133,6,0.24,1.0,0.0,0.0,0.716928,0.75,True,21.625091,False,
RDL-n25-02,drone_range,30,6,10000,0.1,0.4,0.997,100,477.81652,410.770466,58.44292,0.0,8.603133,6,0.24,1.0,0.0,0.0,0.716928,0.75,True,21.62028,False,
RDL-n25-02,drone_range,8,7,10000,0.1,0.4,0.997,100,510.129086,464.339762,34.45809,4.53118,6.800053,5,0.2,0.92,0.018125,0.320578,0.680005,0.625,True,20.928047,False,
RDL-n25-02,drone_range,12,7,10000,0.1,0.4,0.997,100,510.129086,464.339762,34.45809,4.53118,6.800053,5,0.2,0.92,0.018125,0.320578,0.680005,0.625,True,20.952135,False,
