Setting,Instance,n,Iterations,Run,XiMin,XiMax,Eta,Psi,Penalty,RestartFraction,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Restarts,Time,Feasible
Restart-0.025,RDL-tune-n25-04,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,501.989719,501.99,0.0,0.0,0.0,25,0,36,18.993964,True
Restart-0.025,RDL-tune-n25-04,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,501.989719,501.99,0.0,0.0,0.0,25,0,33,19.24246,True
Restart-0.025,RDL-tune-n25-05,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,539.526403,487.25,49.95,0.0,2.33,21,4,36,22.381413,True
Restart-0.025,RDL-tune-n25-05,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,544.458534,490.38,49.95,0.0,4.12,21,4,37,22.866753,True
Restart-0.025,RDL-tune-n25-05,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,539.526403,487.25,49.95,0.0,2.33,21,4,38,23.864129,True
Restart-0.025,RDL-tune-n25-06,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,504.696572,503.86,0.0,0.84,0.0,25,0,36,21.269736,True
Restart-0.025,RDL-tune-n25-06,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,504.696572,503.86,0.0,0.84,0.0,25,0,37,21.281364,True
Restart-0.025,RDL-tune-n25-06,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,504.696572,503.86,0.0,0.84,0.0,25,0,35,17.084914,True
Restart-0.025,RDL-tune-n25-07,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,598.074092,598.07,0.0,0.0,0.0,25,0,37,14.19762,True
Restart-0.025,RDL-tune-n25-07,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,603.76971,603.77,0.0,0.0,0.0,25,0,38,14.400329,True
Restart-0.025,RDL-tune-n25-07,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,604.256476,586.66,12.91,3.4,1.28,24,1,34,13.667695,True
Restart-0.025,RDL-tune-n25-08,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,503.117129,417.73,70.06,7.94,7.39,18,7,36,19.470923,True
Restart-0.025,RDL-tune-n25-08,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,515.182649,455.07,50.92,1.73,7.47,20,5,36,19.38947,True
Restart-0.025,RDL-tune-n25-08,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,511.783592,449.51,50.92,3.5,7.85,20,5,37,19.805493,True
Restart-0.10,RDL-tune-n25-01,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,432.831138,432.83,0.0,0.0,0.0,25,0,7,16.039895,True
Restart-0.10,RDL-tune-n25-01,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,437.221849,423.15,9.94,2.31,1.82,24,1,6,15.605466,True
Restart-0.10,RDL-tune-n25-01,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,443.931956,442.73,0.0,1.2,0.0,25,0,7,15.784436,True
Restart-0.10,RDL-tune-n25-02,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,492.995046,408.71,80.49,0.0,3.8,19,6,8,19.261789,True
