Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-tune-n25-04,25,10000,0.3,0.6,0.999,100,2,515.26,499.1,14.77,0.0,1.38,23,2,29.28,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.995,100,0,542.25,488.35,49.95,1.63,2.33,21,4,18.36,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.995,100,1,539.46,487.18,49.95,0.0,2.33,21,4,18.36,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.995,100,2,542.44,488.53,49.95,1.63,2.33,21,4,18.17,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.997,100,0,541.67,489.39,49.95,0.0,2.33,21,4,18.23,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.997,100,1,538.9,484.99,49.95,1.63,2.33,21,4,18.31,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.997,100,2,544.83,500.23,41.81,0.0,2.79,22,3,18.25,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.999,100,0,539.14,486.87,49.95,0.0,2.33,21,4,18.13,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.999,100,1,545.14,491.07,49.95,0.0,4.12,21,4,18.36,True
RDL-tune-n25-05,25,10000,0.1,0.4,0.999,100,2,545.61,491.7,49.95,1.63,2.33,21,4,18.02,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.995,100,0,544.46,490.38,49.95,0.0,4.12,21,4,27.42,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.995,100,1,539.53,487.25,49.95,0.0,2.33,21,4,27.85,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.995,100,2,545.03,490.96,49.95,0.0,4.12,21,4,26.65,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.997,100,0,540.18,486.27,49.95,1.63,2.33,21,4,28.4,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.997,100,1,538.9,484.99,49.95,1.63,2.33,21,4,27.4,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.997,100,2,539.53,487.25,49.95,0.0,2.33,21,4,27.64,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.999,100,0,539.52,485.61,49.95,1.63,2.33,21,4,27.08,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.999,100,1,538.9,484.99,49.95,1.63,2.33,21,4,27.05,True
RDL-tune-n25-05,25,10000,0.2,0.5,0.999,100,2,542.14,488.23,49.95,1.63,2.33,21,4,27.1,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.995,100,0,546.35,492.28,49.95,0.0,4.12,21,4,35.85,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.995,100,1,546.12,492.04,49.95,0.0,4.12,21,4,34.89,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.995,100,2,539.14,486.87,49.95,0.0,2.33,21,4,36.27,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.997,100,0,544.49,490.42,49.95,0.0,4.12,21,4,35.66,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.997,100,1,542.01,489.05,49.95,0.68,2.33,21,4,36.19,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.997,100,2,545.04,490.97,49.95,0.0,4.12,21,4,37.58,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.999,100,0,544.16,490.25,49.95,1.63,2.33,21,4,35.95,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.999,100,1,538.9,484.99,49.95,1.63,2.33,21,4,35.08,True
RDL-tune-n25-05,25,10000,0.3,0.6,0.999,100,2,546.38,492.3,49.95,0.0,4.12,21,4,36.37,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.995,100,0,504.7,503.86,0.0,0.84,0.0,25,0,17.38,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.995,100,1,504.7,503.86,0.0,0.84,0.0,25,0,16.48,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.995,100,2,504.7,503.86,0.0,0.84,0.0,25,0,16.87,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.997,100,0,509.83,509.83,0.0,0.0,0.0,25,0,16.14,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.997,100,1,504.7,503.86,0.0,0.84,0.0,25,0,16.65,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.997,100,2,508.59,508.59,0.0,0.0,0.0,25,0,16.88,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.999,100,0,504.7,503.86,0.0,0.84,0.0,25,0,16.63,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.999,100,1,509.83,509.83,0.0,0.0,0.0,25,0,17.04,True
RDL-tune-n25-06,25,10000,0.1,0.4,0.999,100,2,507.94,507.11,0.0,0.84,0.0,25,0,16.55,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.995,100,0,508.59,508.59,0.0,0.0,0.0,25,0,24.37,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.995,100,1,508.59,508.59,0.0,0.0,0.0,25,0,24.57,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.995,100,2,504.7,503.86,0.0,0.84,0.0,25,0,24.98,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.997,100,0,504.7,503.86,0.0,0.84,0.0,25,0,25.23,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.997,100,1,504.7,503.86,0.0,0.84,0.0,25,0,24.33,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.997,100,2,510.32,504.91,0.0,5.42,0.0,25,0,24.64,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.999,100,0,508.59,508.59,0.0,0.0,0.0,25,0,24.91,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.999,100,1,509.83,509.83,0.0,0.0,0.0,25,0,24.71,True
RDL-tune-n25-06,25,10000,0.2,0.5,0.999,100,2,505.79,504.96,0.0,0.84,0.0,25,0,24.85,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.995,100,0,508.59,508.59,0.0,0.0,0.0,25,0,32.82,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.995,100,1,509.83,509.83,0.0,0.0,0.0,25,0,32.54,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.995,100,2,508.59,508.59,0.0,0.0,0.0,25,0,33.4,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.997,100,0,504.7,503.86,0.0,0.84,0.0,25,0,32.93,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.997,100,1,508.59,508.59,0.0,0.0,0.0,25,0,35.04,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.997,100,2,508.59,508.59,0.0,0.0,0.0,25,0,33.23,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.999,100,0,510.05,504.15,5.34,0.0,0.56,24,1,32.39,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.999,100,1,509.83,509.83,0.0,0.0,0.0,25,0,34.73,True
RDL-tune-n25-06,25,10000,0.3,0.6,0.999,100,2,508.59,508.59,0.0,0.0,0.0,25,0,34.01,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.995,100,0,604.26,586.66,12.91,3.4,1.28,24,1,13.17,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.995,100,1,603.77,603.77,0.0,0.0,0.0,25,0,13.99,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.995,100,2,602.2,588.0,12.91,0.0,1.28,24,1,13.19,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.997,100,0,593.76,574.36,11.65,6.11,1.64,24,1,13.29,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.997,100,1,593.76,574.36,11.65,6.11,1.64,24,1,13.22,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.997,100,2,599.33,579.93,11.65,6.11,1.64,24,1,13.58,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.999,100,0,598.07,598.07,0.0,0.0,0.0,25,0,13.87,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.999,100,1,602.37,597.35,0.0,5.02,0.0,25,0,13.28,True
RDL-tune-n25-07,25,10000,0.1,0.4,0.999,100,2,598.07,598.07,0.0,0.0,0.0,25,0,13.77,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.995,100,0,593.76,574.36,11.65,6.11,1.64,24,1,18.27,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.995,100,1,604.26,586.66,12.91,3.4,1.28,24,1,18.99,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.995,100,2,598.07,598.07,0.0,0.0,0.0,25,0,20.07,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.997,100,0,606.36,606.36,0.0,0.0,0.0,25,0,20.88,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.997,100,1,604.26,586.66,12.91,3.4,1.28,24,1,20.09,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.997,100,2,603.77,603.77,0.0,0.0,0.0,25,0,20.4,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.999,100,0,604.8,590.37,12.8,0.84,0.79,24,1,20.37,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.999,100,1,604.45,586.86,12.91,3.4,1.28,24,1,20.15,True
RDL-tune-n25-07,25,10000,0.2,0.5,0.999,100,2,603.77,603.77,0.0,0.0,0.0,25,0,20.42,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.995,100,0,619.56,606.27,11.65,0.0,1.64,24,1,25.1,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.995,100,1,623.39,606.34,12.8,3.4,0.85,24,1,25.76,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.995,100,2,604.26,586.66,12.91,3.4,1.28,24,1,25.4,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.997,100,0,598.07,598.07,0.0,0.0,0.0,25,0,28.25,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.997,100,1,603.77,603.77,0.0,0.0,0.0,25,0,25.92,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.997,100,2,626.66,585.22,38.51,0.0,2.92,22,3,24.87,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.999,100,0,606.87,589.03,12.8,4.24,0.79,24,1,26.06,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.999,100,1,619.56,606.27,11.65,0.0,1.64,24,1,26.24,True
RDL-tune-n25-07,25,10000,0.3,0.6,0.999,100,2,603.77,603.77,0.0,0.0,0.0,25,0,27.14,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.995,100,0,523.21,424.96,83.19,5.27,9.8,17,8,19.53,True
